Image_ID,Perturbed_Data_Type,Byte_Index,Bit_Position,Initial_Value,Final_Classification
0,F5_weights,38024,2,0,7
1,F6_weights,4149,1,0,2
2,F6_weights,8427,1,1,1
3,F7_weights,291,6,1,0
4,F7_weights,591,1,0,4
5,C1_kernels,42,5,1,1
6,C1_kernels,64,6,0,4
7,C1_kernels,9,4,0,9
8,F5_weights,27367,6,1,5
9,F6_weights,707,1,0,9
10,C3_kernels,1879,1,1,0
11,F7_weights,706,4,0,6
12,C3_kernels,1120,3,0,9
13,C3_kernels,698,1,1,0
14,F5_weights,16847,6,1,1
15,F6_weights,5077,0,1,5
16,F5_weights,16910,4,0,9
17,F7_weights,535,2,0,7
18,F5_weights,37521,6,0,3
19,F7_weights,281,6,0,4
20,C1_kernels,108,2,1,9
21,F6_weights,6520,2,0,6
22,F7_weights,455,6,0,6
23,C1_kernels,145,7,0,5
24,C3_kernels,526,6,0,4
25,C3_kernels,1508,1,0,0
26,C3_kernels,1975,4,0,7
27,F6_weights,3321,0,0,4
28,C1_kernels,112,4,1,0
29,C3_kernels,2385,7,0,1
30,C1_kernels,61,0,0,3
31,F7_weights,19,3,1,1
32,C3_kernels,179,6,0,3
33,F5_weights,2138,5,1,4
34,F5_weights,25806,2,1,7
35,C1_kernels,106,7,1,2
36,F5_weights,43404,5,0,7
37,C1_kernels,18,2,0,1
38,F7_weights,365,7,0,2
39,F6_weights,3202,4,0,1
40,F6_weights,2378,6,0,1
41,F5_weights,40476,7,0,7
42,C3_kernels,416,2,0,4
43,F7_weights,6,2,0,2
44,F5_weights,22125,0,0,3
45,C3_kernels,1947,7,1,5
46,C1_kernels,53,0,0,1
47,C3_kernels,1192,5,1,2
48,C3_kernels,2111,2,1,4
49,F5_weights,11835,4,1,4
50,F5_weights,12037,4,0,6
51,C1_kernels,14,3,0,3
52,F6_weights,4843,0,1,5
53,C1_kernels,46,6,1,5
54,F6_weights,5812,6,0,6
55,F7_weights,27,6,1,0
56,C1_kernels,130,6,0,4
57,C1_kernels,121,7,1,1
58,F7_weights,354,2,0,9
59,F5_weights,44584,6,0,5
60,C1_kernels,146,3,0,7
61,F5_weights,31050,3,0,8
62,F6_weights,8002,0,1,5
63,F5_weights,16265,3,0,9
64,F6_weights,8527,4,1,7
65,F7_weights,517,3,0,4
66,F7_weights,302,7,1,6
67,F7_weights,326,3,0,4
68,C3_kernels,1264,3,1,3
69,C3_kernels,636,4,0,0
70,F7_weights,190,3,0,7
71,F7_weights,297,5,0,0
72,C1_kernels,70,7,0,2
73,F7_weights,350,2,0,9
74,F5_weights,22846,1,0,1
75,C3_kernels,1662,1,0,7
76,F5_weights,18522,6,1,3
77,F5_weights,25271,1,0,2
78,C1_kernels,28,3,0,9
79,C3_kernels,828,6,0,7
80,F7_weights,646,1,0,7
81,F6_weights,1365,4,0,6
82,F6_weights,3220,3,0,2
83,F5_weights,23245,7,1,7
84,C1_kernels,60,1,0,8
85,F7_weights,176,7,1,4
86,C3_kernels,1989,3,1,7
87,F5_weights,45203,6,0,3
88,F5_weights,39472,3,1,6
89,F5_weights,19939,5,0,1
90,F5_weights,2349,1,0,3
91,F6_weights,2920,2,1,6
92,F6_weights,6013,4,1,9
93,C1_kernels,89,3,1,3
94,F7_weights,32,4,0,1
95,C1_kernels,70,2,1,4
96,F6_weights,7000,6,0,1
