Image_ID,Perturbed_Data_Type,Byte_Index,Bit_Position,Initial_Value,Final_Classification
0,F7_weights,474,5,0,7
1,C1_kernels,34,1,1,2
2,C1_kernels,141,0,0,1
3,F7_weights,227,5,1,0
4,F7_weights,229,1,1,4
5,F7_weights,579,4,0,1
6,F7_weights,559,0,0,4
7,F7_weights,650,6,1,9
8,F5_weights,38795,1,1,5
9,F5_weights,25994,4,1,9
10,F5_weights,13983,5,0,0
11,C3_kernels,190,7,1,6
12,F6_weights,548,1,0,9
13,F6_weights,6755,5,1,0
14,F5_weights,14989,2,1,1
15,C1_kernels,137,7,1,5
16,C1_kernels,144,3,0,9
17,F6_weights,9139,2,0,7
18,F7_weights,181,0,0,3
19,F5_weights,8548,7,0,4
20,F7_weights,32,0,0,9
21,C1_kernels,43,3,0,6
22,F5_weights,42849,3,0,6
23,C1_kernels,56,2,0,5
24,F7_weights,14,1,0,4
25,F7_weights,68,1,1,0
26,F5_weights,1559,4,1,7
27,C1_kernels,26,5,1,4
28,F6_weights,4904,3,0,0
29,F7_weights,512,7,0,1
30,C3_kernels,1493,5,0,3
31,C3_kernels,2046,4,1,1
32,F6_weights,9548,3,1,3
33,F7_weights,499,6,1,4
34,C3_kernels,168,3,1,7
35,F5_weights,21957,4,1,2
36,F5_weights,22262,5,0,7
37,F7_weights,683,4,0,1
38,F6_weights,7909,3,1,2
39,C1_kernels,53,6,1,1
40,C3_kernels,1413,6,1,1
41,C3_kernels,1843,0,1,7
42,F6_weights,6569,6,1,4
43,F5_weights,46707,3,1,2
44,C3_kernels,423,1,0,3
45,C3_kernels,1173,2,0,5
46,C3_kernels,624,6,0,1
47,F7_weights,559,2,0,2
48,F7_weights,818,6,0,4
49,C1_kernels,136,1,0,4
50,F7_weights,48,6,0,6
51,C1_kernels,63,6,0,3
52,C1_kernels,123,0,1,5
53,F6_weights,5261,1,1,5
54,F6_weights,3061,4,0,6
55,C1_kernels,104,7,1,0
56,F6_weights,3252,2,0,4
57,C1_kernels,79,1,1,1
58,F5_weights,37159,3,1,9
59,C3_kernels,984,5,1,5
60,C3_kernels,607,4,1,7
61,C3_kernels,627,4,0,8
62,F7_weights,379,4,1,5
63,F5_weights,46901,2,0,9
64,F7_weights,696,5,1,7
65,C1_kernels,61,3,0,4
66,F7_weights,476,5,0,6
67,C3_kernels,282,2,0,4
68,C1_kernels,32,1,1,3
69,F5_weights,45385,4,0,0
70,F7_weights,20,5,0,7
71,F6_weights,7567,4,1,0
72,C3_kernels,142,3,1,2
73,F6_weights,6132,2,0,9
74,F7_weights,569,0,0,1
75,F7_weights,126,1,0,7
76,F7_weights,748,0,1,3
77,F6_weights,3076,4,1,2
